npe,lnpe,top2disparity,inter_sample,answer_total,answer_aleatoric,answer_epistemic,correctness_total,correctness_aleatoric,correctness_epistemic,verb_confidence,verb_predict_acc,correct_ratio
41.6353350454003,0.36384589545263263,-7.4525103857044215,1.0,0.24229218908241482,0.14438561897747246,0.09790657010494236,0.0,0.0,0.0,0.82,0.18,0.0
46.915279950934675,0.3820981565291212,-6.470961402823987,0.6364096424087466,0.7221707506876512,0.39818473769532864,0.3239860129923226,0.32744491915447616,0.2381847376953287,0.08926018145914746,0.84,0.14,0.06
50.324750202621125,0.3178749254562119,-7.216665200616867,0.3874842863440441,1.0855093773010511,0.375196474871425,0.7103129024296262,0.1414405425418205,0.09379911871785625,0.04764142382396426,0.96,0.06,0.02
67.46588304203073,0.5302752591921314,-5.268311612954939,1.0,0.1414405425418205,0.09379911871785625,0.04764142382396426,0.1414405425418205,0.09379911871785625,0.04764142382396426,0.66,0.32,0.02
100.43871019833652,0.3756966869810705,-7.396472175313595,1.0,0.7212798655525013,0.4484509893348748,0.2728288762176265,0.5842388116428558,0.37044829873707225,0.2137905129057836,0.74,0.28,0.14
46.14774082808029,0.553663851635144,-3.990173708989646,0.6012916270278119,1.367138145336539,0.8939262865622091,0.4732118587743299,0.8554508105601306,0.4969019786697496,0.358548831890381,0.6,0.56,0.28
58.53278803088734,0.5211598410282205,-5.460720015657215,1.0,0.978854149486896,0.9060483444979379,0.07280580498895806,0.5293608652873643,0.4576555359997073,0.07170532928765694,0.58,0.42,0.12
27.5125804516343,0.38391886469937836,-6.265711729545023,0.6035000850225946,1.1425171113097468,1.0371547773202832,0.1053623339894636,0.9248187049730301,0.8673502774068218,0.05746842756620829,0.7,0.48,0.34
40.71444876002818,0.3591685894444708,-7.438628301662373,0.3824308399122012,1.3975201396922612,1.1350867163650782,0.262433423327183,0.9580420222262996,0.7848912162785394,0.17315080594776022,0.78,0.48,0.38
52.29373894540903,0.3873243615440427,-6.541641469265491,1.0,0.24229218908241482,0.1875982374357125,0.05469395164670232,0.0,0.0,0.0,0.9,0.1,0.0
35.02544275685229,0.36314503844522233,-6.99253184190911,1.0,0.1414405425418205,0.09379911871785625,0.04764142382396426,0.0,0.0,0.0,0.82,0.18,0.0
66.3502882546353,0.4658439194077779,-5.457069850635455,1.0,0.4670814401590036,0.33198385641318495,0.13509758374581865,0.1414405425418205,0.09379911871785625,0.04764142382396426,0.64,0.34,0.02
54.2847169991775,0.41731453084202363,-7.084579163613598,0.5525729838263028,0.6800770457282798,0.5319838564131849,0.14809318931509485,0.6800770457282798,0.5319838564131849,0.14809318931509485,0.84,0.18,0.18
25.37778775069483,0.28623007163485803,-8.51597634702373,1.0,0.1414405425418205,0.09379911871785625,0.04764142382396426,0.0,0.0,0.0,0.72,0.28,0.0
77.61589264018235,0.4672096868492719,-6.071596805232828,1.0,0.4670814401590033,0.375196474871425,0.09188496528757834,0.1414405425418205,0.09379911871785625,0.04764142382396426,0.32,0.7,0.02
42.28855685712552,0.4133858491281155,-5.694072156012428,1.0,0.1414405425418205,0.09379911871785625,0.04764142382396426,0.0,0.0,0.0,0.92,0.08,0.0
23.45349428094987,0.30915256142193764,-7.833868528462294,1.0,0.5293608652873645,0.41444291754146717,0.11491794774589731,0.5293608652873645,0.41444291754146717,0.11491794774589731,0.88,0.24,0.12
61.963979718598274,0.5351120531914819,-4.595968839137063,0.6393542438609349,1.259756468731008,0.9666357270302035,0.2931207417008046,0.9988455359952018,0.8144429175414671,0.18440261845373462,0.72,0.6,0.52
28.648238654735138,0.31165511339820745,-7.143079687316563,1.0,0.24229218908241482,0.1875982374357125,0.05469395164670232,0.0,0.0,0.0,0.5,0.5,0.0
46.45057274642788,0.5664980587695184,-4.068176851248918,0.5771685110344942,1.3709505944546687,1.1470267272032808,0.2239238672513879,0.7219280948873623,0.641287597647222,0.08064049724014033,0.48,0.56,0.2
86.48109117898845,0.45997786741086144,-6.1994578395034114,1.0,0.1414405425418205,0.09379911871785625,0.04764142382396426,0.0,0.0,0.0,0.9,0.1,0.0
59.41133904878271,0.38990212830375265,-6.850919841614191,0.5400198912711555,1.0154312795575997,0.813926286562209,0.2015049929953907,0.6343095546405659,0.5261739753041187,0.10813557933644724,0.52,0.44,0.16
96.62427095732048,0.31044480693958876,-9.303359753350243,1.0,0.4670814401590033,0.33198385641318495,0.13509758374581837,0.1414405425418205,0.09379911871785625,0.04764142382396426,0.84,0.14,0.02
80.379587723258,0.48741335064355595,-5.23331548961096,1.0,0.7219280948873623,0.5825703566728012,0.1393577382145611,0.0,0.0,0.0,0.78,0.22,0.0
85.41218648646021,0.536948426771983,-5.188427350437353,1.0,0.3825426691977455,0.2813973561535687,0.10114531304417679,0.1414405425418205,0.09379911871785625,0.04764142382396426,0.78,0.24,0.02
20.507480504683155,0.3408084087517384,-7.370027349215754,1.0,0.32744491915447616,0.2381847376953287,0.08926018145914746,0.0,0.0,0.0,0.9,0.1,0.0
89.93504171189348,0.37342035578622385,-7.272290467198645,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.08,0.0
94.86523033305211,0.42633576323062367,-6.2056351847463365,1.0,0.566090653034748,0.41574154886688036,0.15034910416786768,0.32744491915447616,0.2381847376953287,0.08926018145914746,0.82,0.16,0.06
26.75354546377602,0.29632671266453264,-7.345293329836307,1.0,0.24229218908241482,0.14438561897747246,0.09790657010494236,0.0,0.0,0.0,0.86,0.14,0.0
